"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",@angular/core:9.0.0,/home/corisco/pgcs/code-review/juice-shop/frontend/package-lock.json?/@angular/core:9.0.0,Angular - the core framework,MIT,"","",pkg:npm/%40angular%2Fcore@9.0.0,"",GHSA-c75v-2vq8-878f,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"A vulnerability was found in Angular up to 11.0.4/11.1.0-next.2. It has been classified as problematic. Affected is the handling of comments. The manipulation leads to cross site scripting. It is possible to launch the attack remotely but it might require an authentication first. Upgrading to version 10.2.5, 11.0.5 or 11.1.0-next.3 is advised to to address this issue.",NPM,"","","",MEDIUM,5.400000095367432,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,HIGHEST,6,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",async:2.6.4,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?/async:2.6.4,Higher-order functions and common patterns for asynchronous code,MIT,"","",pkg:npm/async@2.6.4,cpe:2.3:a:async_project:async:2.6.4:*:*:*:*:*:*:*,CVE-2024-39249,CWE-1333 Inefficient Regular Expression Complexity,Async <= 2.6.4 and <= 3.2.5 are vulnerable to ReDoS (Regular Expression Denial of Service) while parsing function in autoinject function. NOTE: this is disputed by the supplier because there is no realistic threat model: regular expressions are not used with untrusted input.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2024-39249 for details,OSSINDEX,MEDIUM,6.300000190734863,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,"","","",HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",base64url:0.0.6,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?jws:0.2.6/base64url:0.0.6,For encoding to/from base64urls,MIT,"","",pkg:npm/base64url@0.0.6,"",GHSA-rvg8-pwq2-xj7q,CWE-125 Out-of-bounds Read,Versions of `base64url` before 3.0.0 are vulnerable to to out-of-bounds reads as it allocates uninitialized Buffers when number is passed in input on Node.js 4.x and below.   ## Recommendation  Update to version 3.0.0 or later.,NPM,"","","","","","",HIGHEST,6,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",bench.js,/home/corisco/pgcs/code-review/juice-shop/node_modules/fast.js/dist/bench.js,"","",6af488defde3d81bad97d52146d0bfe7,ae9a60339937cfa9b108228a343565a977759fdd,pkg:javascript/underscore.js@1.7.0,"",CVE-2021-23358,CWE-94 Improper Control of Generation of Code ('Code Injection'),"The package underscore from 1.13.0-0 and before 1.13.0-2, from 1.3.2 and before 1.12.1 are vulnerable to Arbitrary Code Injection via the template function, particularly when a variable property is passed as an argument as it is not sanitized.",NVD,MEDIUM,6.5,/AV:N/AC:L/Au:S/C:P/I:P/A:P,HIGH,7.2,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H/E:1.2/RC:R/MAV:A,HIGHEST,3,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",blaze.jar (shaded: commons-io:commons-io:2.4),/home/corisco/pgcs/code-review/juice-shop/frontend/node_modules/font-mfizz/blaze.jar/META-INF/maven/commons-io/commons-io/pom.xml,"The Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.","",a75b48557fe5da29195020755a5b1be7,9ece23effe8bce3904f3797a76b1ba6ab681e1b9,pkg:maven/commons-io/commons-io@2.4,cpe:2.3:a:apache:commons_io:2.4:*:*:*:*:*:*:*,CVE-2024-47554,CWE-400 Uncontrolled Resource Consumption,"Uncontrolled Resource Consumption vulnerability in Apache Commons IO.  The org.apache.commons.io.input.XmlStreamReader class may excessively consume CPU resources when processing maliciously crafted input.   This issue affects Apache Commons IO: from 2.0 before 2.14.0.  Users are recommended to upgrade to version 2.14.0 or later, which fixes the issue.",OSSINDEX,HIGH,8.699999809265137,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"","","",HIGH,86,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",blaze.jar (shaded: commons-io:commons-io:2.4),/home/corisco/pgcs/code-review/juice-shop/frontend/node_modules/font-mfizz/blaze.jar/META-INF/maven/commons-io/commons-io/pom.xml,"The Commons IO library contains utility classes, stream implementations, file filters,  file comparators, endian transformation classes, and much more.","",a75b48557fe5da29195020755a5b1be7,9ece23effe8bce3904f3797a76b1ba6ab681e1b9,pkg:maven/commons-io/commons-io@2.4,cpe:2.3:a:apache:commons_io:2.4:*:*:*:*:*:*:*,CVE-2021-29425,"CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'), CWE-20 Improper Input Validation","In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",NVD,MEDIUM,5.8,/AV:N/AC:M/Au:N/C:P/I:P/A:N,MEDIUM,4.8,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N/E:2.2/RC:R/MAV:A,HIGH,86,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",blaze.jar,/home/corisco/pgcs/code-review/juice-shop/frontend/node_modules/font-mfizz/blaze.jar,"","",7a92044cefeda2262db247fc48f05264,422762f7d9e5812d999db0cc7528b90ed0eef11c,"",cpe:2.3:a:apache:ivy:0.8.0:*:*:*:*:*:*:*,CVE-2022-46751,"CWE-611 Improper Restriction of XML External Entity Reference, CWE-91 XML Injection (aka Blind XPath Injection)","Improper Restriction of XML External Entity Reference, XML Injection (aka Blind XPath Injection) vulnerability in Apache Software Foundation Apache Ivy.This issue affects any version of Apache Ivy prior to 2.5.2.  When Apache Ivy prior to 2.5.2 parses XML files - either its own configuration, Ivy files or Apache Maven POMs - it will allow downloading external document type definitions and expand any entity references contained therein when used.  This can be used to exfiltrate data, access resources only the machine running Ivy has access to or disturb the execution of Ivy in different ways.  Starting with Ivy 2.5.2 DTD processing is disabled by default except when parsing Maven POMs where the default is to allow DTD processing but only to include a DTD snippet shipping with Ivy that is needed to deal with existing Maven POMs that are not valid XML files but are nevertheless accepted by Maven. Access can be be made more lenient via newly introduced system properties where needed.  Users of Ivy prior to version 2.5.2 can use Java system properties to restrict processing of external DTDs, see the section about ""JAXP Properties for External Access restrictions"" inside Oracle's ""Java API for XML Processing (JAXP) Security Guide"".",NVD,"","","",HIGH,8.2,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:L/E:3.9/RC:R/MAV:A,"",14,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",braces:2.3.2,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?micromatch:3.1.10/braces:^2.3.1,"Bash-like brace expansion, implemented in JavaScript. Safer than other brace expansion libs, with complete support for the Bash 4.3 braces specification, without sacrificing speed.",MIT,"","",pkg:npm/braces@2.3.2,cpe:2.3:a:braces_project:braces:2.3.2:*:*:*:*:*:*:*,CVE-2024-4068,CWE-1050 Excessive Platform Resource Consumption within a Loop,"The NPM package `braces`, versions prior to 3.0.3, fails to limit the number of characters it can handle, which could lead to Memory Exhaustion. In `lib/parse.js,` if a malicious user sends ""imbalanced braces"" as input, the parsing will enter a loop, which will cause the program to start allocating heap memory without freeing it at any moment of the loop. Eventually, the JavaScript heap limit is reached, and the program will crash.",OSSINDEX,"","","",MEDIUM,5.300000190734863,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,8,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",cookie:0.4.2,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?/cookie:0.4.2,HTTP server cookie parsing and serialization,MIT,"","",pkg:npm/cookie@0.4.2,"",CVE-2024-47764,CWE-74 Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),"cookie is a basic HTTP cookie parser and serializer for HTTP servers. The cookie name could be used to set other fields of the cookie, resulting in an unexpected cookie value. A similar escape can be used for path and domain, which could be abused to alter other fields of the cookie. Upgrade to 0.7.0, which updates the validation for name, path, and domain.",OSSINDEX,MEDIUM,6.900000095367432,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,"","","",HIGHEST,6,"","","","","","","",""
Juice Shop - Advanced Security Audit,"Sat, 4 Jan 2025 17:36:27 -0300",crypto-js:3.3.0,/home/corisco/pgcs/code-review/juice-shop/package-lock.json?pdfkit:0.11.0/crypto-js:^3.1.9-1,JavaScript library of crypto standards.,MIT,"","",pkg:npm/crypto-js@3.3.0,cpe:2.3:a:crypto-js_project:crypto-js:3.3.0:*:*:*:*:*:*:*,GHSA-xwcq-pm8m-c4vf,"CWE-327 Use of a Broken or Risky Cryptographic Algorithm, CWE-328 Use of Weak Hash, CWE-916 Use of Password Hash With Insufficient Computational Effort","### Impact #### Summary Crypto-js PBKDF2 is 1,000 times weaker than originally specified in 1993, and [at least 1,300,000 times weaker than current industry standard][OWASP PBKDF2 Cheatsheet]. This is because it both (1) defaults to [SHA1][SHA1 wiki], a cryptographic hash algorithm considered insecure [since at least 2005][Cryptanalysis of SHA-1] and (2) defaults to [one single iteration][one iteration src], a 'strength' or 'difficulty' value specified at 1,000 when specified in 1993. PBKDF2 relies on iteration count as a countermeasure to [preimage][preimage attack] and [collision][collision attack] attacks.  Potential Impact:  1. If used to protect passwords, the impact is high. 2. If used to generate signatures, the impact is high.  Probability / risk analysis / attack enumeration:  1. [For at most $45,000][SHA1 is a Shambles], an attacker, given control of only the beginning of a crypto-js PBKDF2 input, can create a value which has _identical cryptographic signature_ to any chosen known value. 4. Due to the [length extension attack] on SHA1, we can create a value that has identical signature to any _unknown_ value, provided it is prefixed by a known value. It does not matter if PBKDF2 applies '[salt][cryptographic salt]' or '[pepper][cryptographic pepper]' or any other secret unknown to the attacker. It will still create an identical signature.  Update: PBKDF2 requires a pseudo-random function that takes two inputs, so HMAC-SHA1 is used rather than plain SHA1. HMAC is not affected by [length extension attacks][Length Extension attack]. However, by defaulting to a single PBKDF2 iteration, the hashes do not benefit from the extra computational complexity that PBKDF2 is supposed to provide. The resulting hashes therefore have little protection against an offline brute-force attack.   [cryptographic salt]: https://en.wikipedia.org/wiki/Salt_(cryptography) ""Salt (cryptography), Wikipedia"" [cryptographic pepper]: https://en.wikipedia.org/wiki/Pepper_(cryptography) ""Pepper (cryptography), Wikipedia"" [SHA1 wiki]: https://en.wikipedia.org/wiki/SHA-1 ""SHA-1, Wikipedia"" [Cryptanalysis of SHA-1]: https://www.schneier.com/blog/archives/2005/02/cryptanalysis_o.html ""Cryptanalysis of SHA-1"" [one iteration src]: https://github.com/brix/crypto-js/blob/1da3dabf93f0a0435c47627d6f171ad25f452012/src/pbkdf2.js#L22-L26 ""crypto-js/src/pbkdf2.js lines 22-26"" [collision attack]: https://en.wikipedia.org/wiki/Hash_collision ""Collision Attack, Wikipedia"" [preimage attack]: https://en.wikipedia.org/wiki/Preimage_attack ""Preimage Attack, Wikipedia"" [SHA1 is a Shambles]: https://eprint.iacr.org/2020/014.pdf ""SHA-1 is a Shambles: First Chosen-Prefix Collision on SHA-1 and Application to the PGP Web of Trust, Gaëtan Leurent and Thomas Peyrin"" [Length Extension attack]: https://en.wikipedia.org/wiki/Length_extension_attack ""Length extension attack, Wikipedia""  crypto-js has 10,642 public users [as displayed on NPM][crypto-js, NPM], today October 11th 2023. The number of transient dependents is likely several orders of magnitude higher.  A very rough GitHub search[ shows 432 files][GitHub search: affected files] cross GitHub using PBKDF2 in crypto-js in Typescript or JavaScript, but not specifying any number of iterations.  [OWASP PBKDF2 Cheatsheet]: https://cheatsheetseries.owasp.org/cheatsheets/Password_Storage_Cheat_Sheet.html#pbkdf2 ""OWASP PBKDF2 Cheatsheet"" [crypto-js, NPM]: https://www.npmjs.com/package/crypto-js ""crypto-js on NPM"" [GitHub search: affected files]: https://github.com/search?q=%22crypto-js%22+AND+pbkdf2+AND+%28lang%3AJavaScript+OR+lang%3ATypeScript%29++NOT+%22iterations%22&type=code&p=2 ""GitHub search: crypto-js AND pbkdf2 AND (lang:JavaScript OR lang:TypeScript)  NOT iterations""  #### Affected versions All versions are impacted. This code has been the same since crypto-js was first created.  #### Further Cryptanalysis  The issue here is especially egregious because the length extension attack makes useless any secret that might be appended to the plaintext before calculating its signature.  Consider a scheme in which a secret is created for a user's username, and that secret is used to protect e.g. their passwords. Let's say that password is 'fake-password', and their username is 'example-username'.  To encrypt the user password via symmetric encryption we might do `encrypt(plaintext: 'fake-password', encryption_key: cryptojs.pbkdf2(value: 'example username' + salt_or_pepper))`. By this means, we would, in theory, create an `encryption_key` that can be determined from the public username, but which requires the secret `salt_or_pepper` to generate. This is a common scheme for protecting passwords, as exemplified in bcrypt & scrypt. Because the encryption key is symmetric, we can use this derived key to also decrypt the ciphertext.  Because of the length extension issue, if the attacker obtains (via attack 1), a collision with 'example username', the attacker _does not need to know_ `salt_or_pepper` to decrypt their account data, only their public username.  ### Description  PBKDF2 is a key-derivation is a key-derivation function that is used for two main purposes: (1) to stretch or squash a variable length password's entropy into a fixed size for consumption by another cryptographic operation and (2) to reduce the chance of downstream operations recovering the password input (for example, for password storage).  Unlike the modern [webcrypto](https://w3c.github.io/webcrypto/#pbkdf2-operations) standard, crypto-js does not throw an error when a number of iterations is not specified, and defaults to one single iteration. In the year 2000, when PBKDF2 was originally specified, the minimum number of iterations suggested was set at 1,000. Today, [OWASP recommends 1,300,000][OWASP PBKDF2 Cheatsheet]:  https://github.com/brix/crypto-js/blob/4dcaa7afd08f48cd285463b8f9499cdb242605fa/src/pbkdf2.js#L22-L26  ### Patches No available patch. The package is not maintained.  ### Workarounds Consult the [OWASP PBKDF2 Cheatsheet]. Configure to use SHA256 with at least 250,000 iterations.  ### Coordinated disclosure This issue was simultaneously submitted to [crypto-js](https://github.com/brix/crypto-js) and [crypto-es](https://github.com/entronad/crypto-es) on the 23rd of October 2023.  ### Caveats  This issue was found in a security review that was _not_ scoped to crypto-js. This report is not an indication that crypto-js has undergone a formal security assessment by the author.",NPM,"","","",CRITICAL,9.100000381469727,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGHEST,8,"","","","","","","",""
